,Time,prices,MCap,Volume,Open,High,Low,Close
587,1667865600000,59.82407771866079,94364205.58654764,5936072.047621161,,,,
588,1667952000000,51.704949086261415,82327670.67724109,18244604.08365452,,,,
589,1668038400000,41.8405517388116,66547928.58318401,13369936.928258901,,,,
590,1668124800000,49.79638756317671,79528427.74727309,10813605.154688373,59.82,59.82,41.84,49.8
591,1668211200000,48.207912537826886,77017700.1965441,6820054.990506892,,,,
592,1668297600000,45.59833588191546,73334310.72180337,3594910.3744817795,,,,
593,1668384000000,43.904222962618,70690523.65380245,3667319.624760491,,,,
594,1668470400000,44.73433435742852,72420297.10571148,4860119.514821236,48.21,48.21,43.9,44.73
595,1668556800000,45.01332506806408,73194838.04064776,3223476.7156030475,,,,
596,1668643200000,43.80902859196143,71256454.3849747,3636170.4605443277,,,,
597,1668729600000,43.48371679718231,70971414.49100593,3634384.1815910805,,,,
598,1668816000000,43.37798763462904,70827036.77011044,2704167.6473358464,45.01,45.01,43.38,43.38
599,1668902400000,43.743698510819634,72144185.86547342,2405226.508073251,,,,
600,1668988800000,40.696710262624144,67336502.83803098,4553901.7605256075,,,,
601,1669075200000,39.02320655831458,65084683.784560196,3726152.067614601,,,,
602,1669161600000,39.70876573607785,66497934.07189791,6019064.400559495,43.74,43.74,39.02,39.71
603,1669248000000,41.28153040494173,69657358.09582326,3759678.831401217,,,,
604,1669334400000,40.9275923867583,69177999.11909632,3478181.3637942406,,,,
605,1669420800000,39.141926272952276,66348221.56441188,5266878.9687086465,,,,
606,1669507200000,39.62257853239044,67198271.82452671,7845473.991750305,41.28,41.28,39.14,39.62
607,1669593600000,39.3692009643878,67066039.980858415,3829405.2341401475,,,,
608,1669680000000,38.71686171735759,66038877.18628502,3828057.980366731,,,,
609,1669766400000,39.811431263960856,68243829.1388657,3417801.1535847685,39.37,39.81,38.72,39.81
610,1669852800000,42.14438549627891,72944154.8251995,6305661.295834273,,,,
611,1669939200000,41.93240606572867,72122090.65688673,3698369.6322574443,,,,
612,1670025600000,42.152705205579984,72717034.3764783,3512698.3184336773,42.14,42.15,41.93,42.15
613,1670112000000,41.606166951985514,72128174.01229455,4366233.70597434,,,,
614,1670198400000,48.42892876804677,84072322.3126732,35035076.61586591,,,,
615,1670284800000,45.347534056169806,79563227.70629884,13061552.4312306,,,,
616,1670371200000,44.87216669322585,78712499.3563894,6267413.813450727,41.61,48.43,41.61,44.87
617,1670457600000,43.375780007340815,76258635.8911105,5622156.25318022,,,,
618,1670544000000,46.88105368277985,83284372.21881151,8926471.814079877,,,,
619,1670630400000,46.478845298799435,82834905.55816968,15601959.507062491,,,,
620,1670716800000,46.14054190767511,82291571.6991333,3931299.006669774,43.38,46.88,43.38,46.14
621,1670803200000,50.32460078037489,90101010.66478175,13143265.95547575,,,,
622,1670889600000,47.946470248398555,89235709.0450303,9197869.788080454,,,,
623,1670976000000,48.01232450552569,90748277.91423354,6830135.869456237,,,,
624,1671062400000,47.4745507461156,89752218.57803132,5960327.255646611,50.32,50.32,47.47,47.47
625,1671148800000,43.3656848078492,81968103.7064578,5759628.478117111,,,,
626,1671235200000,39.643739018492056,74995240.21096744,6288060.2952144835,,,,
627,1671321600000,41.872791539097726,79595199.16393691,11020094.505611088,,,,
628,1671408000000,41.30863912658862,78707326.53628886,2824194.2434590715,43.37,43.37,39.64,41.31
629,1671494400000,39.53489914599516,75447316.64553337,9306978.90567093,,,,
630,1671580800000,41.33189806426563,78971577.0767674,3827327.48876787,,,,
631,1671667200000,40.56684255870968,77796320.41294186,2919493.983903316,,,,
632,1671753600000,40.454725835764634,77698509.52737126,3077676.9031310966,39.53,41.33,39.53,40.45
633,1671840000000,40.19663935926855,77420071.46427965,2511574.820983029,,,,
634,1671926400000,40.12595607502763,77390353.24950714,2223485.4420112288,,,,
635,1672012800000,39.769918440322826,76620301.59062761,2321925.4607369173,,,,
636,1672099200000,40.179326570665886,77654333.13454126,2645957.698068972,40.2,40.2,39.77,40.18
637,1672185600000,40.387594679403506,78337079.37703486,3494137.883664315,,,,
638,1672272000000,39.09926961093449,75857292.88582902,2863461.780928666,,,,
