"Date","Price","Open","High","Low","Vol.","Change %"
"05/02/2023","5.42","5.31","5.44","5.27","71.82K","2.07%"
"05/01/2023","5.31","5.50","5.55","5.24","111.36K","-3.63%"
"04/30/2023","5.51","5.68","5.69","5.48","93.87K","-2.99%"
"04/29/2023","5.68","5.60","5.72","5.54","97.75K","1.43%"
"04/28/2023","5.60","5.74","5.75","5.55","136.36K","-2.44%"
"04/27/2023","5.74","5.61","5.82","5.52","256.82K","2.32%"
"04/26/2023","5.61","5.70","6.01","5.34","355.81K","-1.41%"
"04/25/2023","5.69","5.66","5.72","5.37","125.82K","0.53%"
"04/24/2023","5.66","5.65","5.77","5.54","178.12K","0.18%"
"04/23/2023","5.65","5.73","5.75","5.48","106.35K","-1.40%"
"04/22/2023","5.73","5.54","5.74","5.45","99.47K","3.43%"
"04/21/2023","5.54","5.84","5.96","5.49","201.54K","-5.14%"
"04/20/2023","5.84","5.92","6.01","5.72","194.08K","-1.35%"
"04/19/2023","5.92","6.58","6.62","5.85","364.45K","-10.17%"
"04/18/2023","6.59","6.48","6.61","6.36","129.29K","1.85%"
"04/17/2023","6.47","6.70","6.74","6.34","346.98K","-3.43%"
"04/16/2023","6.70","6.54","6.74","6.40","302.44K","2.45%"
"04/15/2023","6.54","6.53","6.58","6.40","238.90K","-0.15%"
"04/14/2023","6.55","6.41","6.64","6.27","621.56K","2.02%"
"04/13/2023","6.42","6.48","6.54","6.23","686.93K","-0.62%"
"04/12/2023","6.46","6.82","6.86","6.41","533.68K","-5.28%"
"04/11/2023","6.82","7.27","7.27","6.78","328.27K","-6.19%"
"04/10/2023","7.27","7.10","7.30","6.97","150.41K","2.39%"
"04/09/2023","7.10","6.99","7.17","6.84","121.42K","1.57%"
"04/08/2023","6.99","6.97","7.08","6.82","118.89K","0.14%"
"04/07/2023","6.98","7.03","7.09","6.85","83.35K","-0.43%"
"04/06/2023","7.01","7.12","7.14","6.80","96.85K","-1.68%"
"04/05/2023","7.13","7.03","7.30","6.97","106.01K","1.57%"
"04/04/2023","7.02","6.98","7.09","6.89","141.44K","0.57%"
"04/03/2023","6.98","6.89","7.05","6.61","206.90K","1.16%"
"04/02/2023","6.90","7.01","7.12","6.75","158.39K","-1.57%"
"04/01/2023","7.01","7.00","7.29","6.94","218.07K","0.29%"
"03/31/2023","6.99","6.82","7.06","6.69","179.46K","2.49%"
"03/30/2023","6.82","6.94","7.05","6.73","193.86K","-1.59%"
"03/29/2023","6.93","6.72","7.09","6.68","257.40K","3.13%"
"03/28/2023","6.72","6.40","6.76","6.18","229.90K","5.00%"
"03/27/2023","6.40","7.04","7.12","6.30","354.81K","-9.09%"
"03/26/2023","7.04","6.82","7.18","6.74","346.91K","2.92%"
"03/25/2023","6.84","6.84","6.88","6.57","265.84K","0.44%"
"03/24/2023","6.81","7.28","7.30","6.62","505.71K","-6.97%"
"03/23/2023","7.32","6.13","7.36","6.06","907.82K","19.61%"
"03/22/2023","6.12","6.58","6.65","5.96","352.67K","-7.41%"
"03/21/2023","6.61","6.27","6.70","6.08","574.72K","5.25%"
"03/20/2023","6.28","6.34","6.60","6.10","675.09K","-0.79%"
"03/19/2023","6.33","6.11","6.52","6.04","302.10K","3.60%"
"03/18/2023","6.11","6.34","6.53","6.09","376.46K","-3.63%"
"03/17/2023","6.34","5.73","6.41","5.64","746.32K","10.65%"
"03/16/2023","5.73","5.65","5.75","5.49","403.07K","1.42%"
"03/15/2023","5.65","6.12","6.29","5.55","436.77K","-7.83%"
"03/14/2023","6.13","5.70","6.31","5.49","610.37K","7.54%"
"03/13/2023","5.70","5.57","5.76","5.29","602.26K","3.26%"
"03/12/2023","5.52","4.96","5.54","4.85","431.23K","11.07%"
"03/11/2023","4.97","5.29","5.44","4.77","453.39K","-6.05%"
"03/10/2023","5.29","5.41","5.41","5.02","345.07K","-2.58%"
